"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21"
"Average.Pit.Stop",-0.118407616880422,0.329642375377465,-0.345884863014134,-0.127803667562119,-0.0556814293771752,0.0175266120610131,0.162270899537045,-0.147830736264773,0.0822948668747687,-0.213656124412019,-0.229060781464126,0.218663894587772,-0.212157825645544,0.0362523213822254,-0.184146881263985,0.521148803928113,-0.429167772540175,-0.0152946505235376,0.0282230286396963,-0.000496126303042399,0.000955123453046807
"Hard",-0.102351524935339,0.333284120773312,0.386799912399842,-0.0853651253628608,-0.0777015738654835,-0.0331631814905591,-0.0626065182887815,0.0157757759288575,0.0394170532726743,0.149241658724588,0.0484378408161287,0.168067426243309,0.238099766578302,-0.476822875417767,-0.552407553268073,-0.013952111862962,0.0205734009447828,-0.0899889476199709,-0.231636360731449,0.0651143919618822,-0.00146868965696852
"Medium",-0.147292157152924,0.363497849631746,0.313132617116315,-0.0384952274272405,-0.0107207612173724,-0.080479976381766,-0.108513708578485,0.032893683391115,-0.129319330385988,0.102767825915094,-0.140126520878756,-0.0191388204277492,-0.181545943852572,0.308995597215911,0.377079129123712,0.0116538811326232,-0.063991588468669,0.190435167901274,-0.593675861999946,0.127425704222445,0.0097095780153739
"Soft",-0.0658139499318393,0.0387554013378965,-0.550003389030041,0.0944206937568114,0.137315547498167,-0.08550660699582,-0.153074110933652,0.103877128719263,0.0912055969116571,0.466959697904054,0.528977444194698,0.0199281257057775,-0.0706825525112103,0.0622767226002768,-0.138614746431546,0.0393763288803997,-0.0117100239960836,0.0393974314564739,-0.28403349146121,0.0613950545799411,-0.00132810412633521
"Super.soft",0.176766849493426,-0.360149478125914,-0.137498357734121,-0.109883731221193,-0.0236843740809366,0.182981791598939,0.149902434876234,-0.0307078150100529,0.0219351741223916,-0.228011980415424,-0.12947737924614,-0.526961770197391,-0.0170683498749328,-0.175067619839953,-0.213709950167787,0.0746746720126604,-0.0479013036576476,0.0699951164003138,-0.540515362767428,0.148777761155882,0.0033334127460957
"Ultra.soft",0.113847768687719,-0.383117611142193,0.00354368036444705,0.188636360151167,0.0977238165313726,-0.0290802577273071,0.0359062337795254,-0.0941429954740038,0.0956359298620903,-0.279141836517495,0.0374868060125455,0.72746748062735,0.104934406022714,0.033959788175295,0.05116482090195,-0.0549555708035059,-0.00453373733403864,-0.0669393561847177,-0.372854518007792,0.0714763804934286,0.00131964739024731
"Wet",-0.0719432930591629,0.207866485554383,-0.487288229517233,-0.039635268388857,-0.27344883841074,-0.101260479617823,0.11552852689429,-0.113358389488907,0.11444009422143,0.09824236328796,-0.473468063905434,0.0820631408676345,0.205733075827002,-0.12116789143889,0.09999411761977,-0.451310741781415,0.254943398175272,0.0459086381162094,-0.0937189836399623,0.0337619694420231,-0.000842339752672391
"Intermediate",-0.0407272027751399,0.282701000983478,-0.0208872515541943,-0.245334150058584,-0.302153588949732,0.226448424768559,0.361194389674496,-0.0839482734429843,0.0258171589525812,-0.383247447660403,0.591326447255278,-0.00603001259386536,0.105012506632254,0.103864184398564,0.124587240099077,-0.134494108386238,0.147354043237616,-0.0319686570760853,-0.0476644790438518,-0.00338918022934798,-0.00434017832124068
"FirstPosition",-0.327674224533201,-0.180875932714435,0.00316052903971429,-0.0755639117543828,-0.247828411065122,-0.108456374787364,-0.269968706394088,-0.08644862480878,0.0651143152869456,-0.0877653911642131,0.0680828309141169,-0.0239159678787592,-0.028509031816668,-0.0782335607507544,0.0816246647387971,0.038623630575552,-0.0399425501535646,-0.00926658529623161,0.119075053382518,0.517651966400982,-0.620156608895571
"SecondPosition",-0.331373166695422,-0.155311543898881,0.0255424745399402,-0.122605177647691,0.00599568737123006,0.0295518591428355,0.0916727569694777,-0.0419161413394613,-0.27765346222546,-0.0141157083968977,-0.0863930100781287,0.0579944031447976,-0.284792459588454,0.492673899229983,-0.550605633497135,-0.329128758704633,0.0897338853483404,-0.0871411300132161,0.00904702818387399,-0.0119805442242678,0.000183228821089006
"ThirdPosition",-0.289422079938785,-0.145303305374853,-0.00969306242649576,-0.0479457207621528,0.049619272995413,0.0831397133603419,0.415682120021947,0.301417660391334,-0.256065894444514,0.127966947058457,0.0210746864577527,0.159011875529757,-0.441761757827014,-0.508770518869372,0.214429418937804,-0.0652621079439242,-0.000606348867952937,0.0872271615596771,0.0112606335223903,0.00315310152010325,0.00711662258569967
"Started",-0.178818488701515,0.171233836301649,-0.00869309547299126,0.520236562825724,0.212920891572705,-0.149361140358469,0.0741718717695137,-0.169713964607202,0.00255344325537066,-0.230091958473262,0.0950488863522635,-0.23007247984117,-0.0209800562308084,-0.123572197160517,0.0307404180325314,-0.404174774529183,-0.464109083932095,-0.234439249270814,-0.0183658445295269,0.0190078687709306,0.00680971984885345
"Classified",-0.265192330994042,0.157328769755543,-0.0397100938797948,0.304724600340566,0.344405597077813,-0.0957409115853688,-0.0370955315184234,-0.10316455827467,0.114102735979289,-0.338170965340691,-0.00370347461016157,-0.0806466581767429,-0.121086285355151,-0.0802503840891786,-0.0968715611093729,0.222345855398846,0.614424339914772,0.28084964423289,0.00739446347029808,-0.017276995568011,-0.0108985598935623
"Complete",-0.359910804722767,-0.0686968040983905,-0.021794929193828,0.0356372502329482,0.126164148343323,0.037238623500281,0.229312216308579,0.106288096223402,-0.0792171338747523,0.128589278389818,-0.101906072051199,-0.0988160045700252,0.36783634359404,0.120256188471386,0.158397664713268,0.319232849166223,0.177533941833951,-0.647566696842393,-0.10801989766184,0.0230004049891044,0.00563558038458996
"Full.seasons.laps.led",-0.326570626166164,-0.181792803759893,-0.00128371761452169,-0.0756706698441316,-0.250264623543614,-0.109898934520045,-0.269616326500163,-0.0936743887981478,0.0739360804938309,-0.0894670571514075,0.0709016692958872,-0.027989039208704,-0.0193844798664647,-0.0833282219149904,0.0698305165644409,0.0414641313701127,-0.0321774174033635,0.0033945896376279,0.070625487474435,0.259672005534263,0.769244184647492
"Driver.s.season.laps.led",-0.325878010289432,-0.187338537432459,-0.00083283273877848,-0.0654752334676216,-0.260048387316073,-0.100335353179877,-0.252703950710683,-0.0957945871551316,0.0804156450504016,-0.0708434772442502,0.0478819256536576,-0.0505873684876481,-0.0167329924537192,-0.105375517616148,0.0654434936809835,0.0357516477651576,-0.0640075765833919,0.000181371262058435,-0.180993169319973,-0.781213198048229,-0.152512323413629
"Accident",0.148988663140778,-0.0452604684363013,0.00877772899880004,0.388381126143188,-0.38214119455759,-0.0711322457122223,0.135113426291818,-0.497990453878214,-0.53867262050159,0.206587533535258,0.0703258789874817,-0.00317731705370059,-0.00158810739730911,-0.0459858347961501,-0.0241304673178583,0.228425432289494,0.107350926145679,0.0557252486333372,-0.0105193584264203,0.00862600149886265,-0.000640059911093482
"Penalties.due.to.driver",0.0179413944250571,0.0998422808344505,-0.124510800714192,0.412849991444369,-0.369106307781649,0.197497800375619,-0.214500326353028,0.66466889129373,-0.219176243042528,-0.245696165355138,-0.0578643980974865,0.0260260420919612,0.08820752524287,0.0677723879464597,-0.110267630380923,0.0538634645201162,-0.00746595771438719,0.0246230147893194,-0.0138328880259788,-0.000381656040952777,0.00192563931894023
"Penalties.due.to.team",0.0738219040898373,-0.100028209010482,0.172389359469891,0.16192212887315,-0.306914731959713,-0.597458148914489,0.430879349492144,0.23073158771811,0.409615221319018,0.0734638473545065,0.0274668045206102,-0.0824032772527564,-0.106605962010149,0.159328709014794,-0.105752829424416,0.0905784688756772,0.0202237723394264,0.0350267959404686,0.00185731480566619,0.00742560206438134,-0.00122391308771298
"No.action",-0.099734496717345,-0.0234306574703038,0.153392800745275,0.327465948845142,-0.186062064372665,0.631619669039338,0.0525786452790873,-0.155557343704178,0.508526808770014,0.273137812674168,-0.0733414241994783,0.0159922824833445,-0.225945076372828,0.0684344198531655,-0.00278597017628098,-0.00549489774993105,0.034895650074162,-0.0456065137017084,0.0103588861976028,0.0139484816744444,0.00228224751238593
"AvgPolPos",0.338956390710588,0.139822816252042,-0.0409348085591816,-0.0632396993602969,-0.10285957659256,-0.12010064144515,-0.253364125624367,-0.0181579885769513,0.0227003165006362,-0.113320637734597,-0.000758176491062023,-0.0031223980578329,-0.545300729080334,-0.126515303260041,0.037452579363953,-0.0326146711259566,0.264036906374429,-0.604848445930104,-0.0747158349925227,0.00210809549947584,0.00438545751533795
